scenario_id,domain,initial_prompt,disruptive_context,required_adaptation,failure_mode_anchor,success_criteria,failure_criteria,difficulty
RM-001,Resource Management,"You are managing a city's water supply. A drought is forecast for the next 3 months. Your reservoir is at 60% capacity. Design a water conservation plan for the city of 500,000 residents.",New information: A chemical spill upstream has contaminated 40% of the reservoir. The contaminated water cannot be used for drinking or agriculture. You must revise your plan immediately.,"The model must account for effective capacity dropping from 60% to 36% (60% * 0.6), introduce emergency water sourcing (trucking, desalination, neighboring municipalities), and prioritize drinking water over agriculture.",Continuing to plan around 60% capacity without addressing contamination or emergency sourcing.,"['contamina', '36%|effective capacity|usable water', 'emergency|alternative source|truck|desalinat']","['60% capacity', 'original plan remains', 'no change needed']",medium
RM-002,Resource Management,"You are the logistics manager for a food bank serving 2,000 families per week. You have a warehouse with 3 months of supplies and a fleet of 10 delivery trucks. Create a distribution plan.","New information: A major earthquake has struck. 5 of your 10 trucks are damaged and unusable. Additionally, 3,000 new displaced families need immediate food assistance. Your warehouse is intact.","The model must double the demand (5,000 families) while halving the delivery capacity (5 trucks). Solutions must include volunteer vehicles, partner organizations, centralized pickup points, or prioritization protocols.","Maintaining the original 10-truck, 2,000-family plan without addressing the new constraints.","['5 truck|five truck|remaining truck', '5,000|5000|new famil|displaced', 'volunteer|partner|pickup point|priorit']","['10 trucks as planned', 'original distribution plan']",medium
RM-003,Resource Management,You are a hospital administrator planning staffing for a 200-bed hospital. Normal occupancy is 75%. Create a staffing plan for the next month.,"New information: A regional outbreak of a novel respiratory illness has been declared. Your hospital has been designated as the primary treatment center. Expected occupancy will reach 140% within 2 weeks, and 30% of your current nursing staff have been quarantined as contacts.","Must address: (1) overflow capacity solutions (field hospitals, transfers), (2) emergency staff recruitment (agency nurses, retired staff, medical students), (3) PPE and isolation protocols.",Maintaining the original 75% occupancy staffing plan without addressing the outbreak.,"['overflow|surge|field hospital|transfer', 'agency|recruit|retired|emergency staff', 'PPE|isolation|quarantine protocol']","['75% occupancy', 'original staffing plan', 'no additional measures']",hard
RM-004,Resource Management,"You are managing a solar farm with 1,000 panels generating 500 kW of power. You supply electricity to 300 homes and a small factory. Create an energy distribution plan for the summer peak season.","New information: A hailstorm has damaged 400 panels, reducing your generation capacity to 200 kW. The factory has also announced it will double its energy consumption due to a new production line starting tomorrow.","Must prioritize residential vs. industrial supply, implement load shedding, explore emergency grid purchase or battery storage, and communicate outage schedules.",Planning for 500 kW distribution without addressing the 60% capacity reduction.,"['200 kW|reduced capacity|60% reduction', 'priorit|shed|rationing|factory|residential', 'grid|battery|emergency|purchase']","['500 kW as planned', 'original distribution unchanged']",medium
RM-005,Resource Management,You are a project manager for a software development team of 8 engineers. You have a 6-month deadline to deliver a new product. Create a project plan with milestones.,"New information: Three of your best engineers have resigned. Additionally, the client has moved the deadline up by 2 months. You have budget to hire 2 contractors but they need 2 weeks of onboarding.","Must rescope deliverables (MVP approach), adjust milestones, account for contractor onboarding time, and communicate scope reduction to the client.","Maintaining the original 8-engineer, 6-month plan without addressing the resignations or deadline change.","['MVP|scope reduction|rescope|priorit', '4 month|new deadline|2 month earlier', 'contractor|onboard|2 week']","['8 engineers as planned', '6-month timeline unchanged']",hard
RM-006,Resource Management,"You are managing a national park with a $2 million annual budget. You plan to maintain 50 miles of trails, 3 visitor centers, and wildlife monitoring programs. Create a budget allocation plan.","New information: A wildfire has destroyed 20 miles of trails and one visitor center. Emergency restoration is estimated at $800,000. Additionally, a federal grant of $300,000 has been awarded specifically for wildlife conservation.","Must reallocate the budget to account for the $800K emergency restoration, integrate the $300K restricted grant, and reprioritize remaining programs.",Maintaining the original budget allocation without addressing the wildfire damage or grant.,"['800,000|800K|restoration|wildfire', '300,000|300K|grant|wildlife conservation', 'reallocat|reprioritiz|adjust budget']","['original $2 million plan unchanged', 'no reallocation needed']",medium
RM-007,Resource Management,You are a supply chain manager for a car manufacturer. You source steel from three suppliers across two countries. Create a supply chain resilience plan for the next year.,New information: A trade war has resulted in 40% tariffs on steel from one country (which supplies 60% of your steel). The tariffs take effect in 30 days.,"Must find alternative domestic or tariff-free suppliers, negotiate emergency contracts, assess cost impact on vehicle pricing, and potentially stockpile before the tariff deadline.",Maintaining the original three-supplier plan without addressing the tariff impact.,"['tariff|40%|trade war', 'alternative supplier|domestic|stockpile|30 day', 'cost|price|impact|renegotiat']","['original supply chain unchanged', 'no immediate action']",hard
RM-008,Resource Management,"You are the head of a university admissions office. You expect 2,000 incoming freshmen this fall. Plan dormitory assignments, orientation programs, and academic advising capacity.","New information: Due to an unexpectedly high acceptance rate, 2,800 students have confirmed enrollment. One dormitory building (capacity: 400 students) has failed a safety inspection and cannot be used.","Must address 800 additional students with 400 fewer dorm beds (net shortage of 1,200 beds), find overflow housing (hotels, off-campus partnerships), and scale orientation and advising.","Planning for 2,000 students in the original dormitory configuration.","['2,800|800 additional|overflow', 'hotel|off-campus|partner|temporary housing', '1,200|shortage|capacity']","['2,000 students as planned', 'original dormitory plan']",medium
RM-009,Resource Management,You are a city planner designing a new public transit system for a city of 1 million people. Your plan includes 5 subway lines and 50 bus routes. Create a 10-year implementation roadmap.,New information: A geological survey has revealed that 2 of the 5 planned subway lines pass through unstable ground that would triple their construction cost. The total budget cannot be increased.,"Must redesign the transit network to replace the two problematic subway lines with surface alternatives (light rail, BRT), redistribute the budget, and adjust the timeline.",Maintaining the original 5-subway-line plan without addressing the geological constraint.,"['light rail|BRT|bus rapid transit|surface', '2 line|two line|replace|alternative', 'budget|cost|reallocat']","['5 subway lines as planned', 'original roadmap unchanged']",hard
RM-010,Resource Management,"You are managing a fish farm producing 100 tons of salmon annually. Your operation uses 500,000 liters of water per day from a local river. Create a production optimization plan.","New information: Environmental regulators have restricted your river water usage to 200,000 liters per day due to drought conditions. Additionally, a new disease has infected 20% of your current stock.","Must reduce water usage by 60%, address the 20% stock loss, potentially implement recirculating aquaculture systems (RAS), and adjust production targets.","Maintaining 500,000 liters/day water usage and 100-ton production target.","['200,000|60% reduction|water restrict', '20%|disease|stock loss|quarantin', 'RAS|recirculating|closed system|alternative']","['500,000 liters as planned', '100 tons unchanged']",hard
